PassengerID,Name,Age,Gender,TrainNo,Source,Destination,Class,TicketPrice,BookingDate,TravelDate,PaymentMode,BookingStatus
53,Amit,54,Female,12684,Chennai,Patna,1A,672,2024-08-11,2024-09-12,UPI,WL
54,Amit,15,Female,12138,Bangalore,Patna,SL,1215,2024-10-15,2024-11-27,Cash,WL
55,Pooja,48,Female,12284,Chennai,Lucknow,SL,2076,2024-04-18,2024-05-18,UPI,Cancelled
56,Pooja,33,Male,12799,Delhi,Delhi,3A,966,2024-10-03,2024-10-07,UPI,Cancelled
57,Neha,65,Male,12577,Varanasi,Bangalore,2A,3291,2024-03-19,2024-04-04,NetBanking,Confirmed
58,Neha,44,Male,12592,Delhi,Lucknow,1A,1774,2024-02-28,2024-04-18,Card,Confirmed
59,Ankit,20,Male,12355,Pune,Chennai,2A,432,2024-05-04,2024-05-11,NetBanking,Confirmed
60,Suman,18,Female,12983,Kolkata,Bangalore,3A,1933,2024-08-03,2024-09-25,Card,Cancelled
61,Ankit,73,Female,12476,Chennai,Jaipur,2A,1470,2024-09-24,2024-11-05,Card,Confirmed
62,Suman,36,Female,12583,Jaipur,Chennai,2A,267,2024-05-22,2024-07-18,Cash,WL
63,Priya,50,Female,12348,Lucknow,Jaipur,2A,2426,2024-04-03,2024-05-05,UPI,Cancelled
64,Priya,57,Female,12568,Varanasi,Bangalore,1A,1985,2024-04-07,2024-04-13,UPI,Confirmed
65,Ravi,36,Female,12679,Jaipur,Kolkata,1A,2417,2024-05-30,2024-06-14,NetBanking,WL
66,Pooja,63,Female,12313,Lucknow,Varanasi,SL,3104,2024-10-08,2024-10-30,Card,WL
67,Karan,28,Male,12221,Bangalore,Lucknow,2A,561,2024-03-02,2024-04-19,Card,WL
68,Neha,43,Male,12725,Pune,Patna,2A,336,2024-04-26,2024-05-20,UPI,Cancelled
69,Neha,67,Male,12893,Delhi,Jaipur,2A,2072,2024-05-29,2024-07-13,Cash,WL
70,Amit,37,Female,12116,Mumbai,Chennai,1A,453,2024-06-23,2024-07-05,UPI,Confirmed
71,Sneha,43,Male,12254,Mumbai,Pune,1A,2633,2024-03-17,2024-05-08,Card,Cancelled
72,Suman,43,Female,12312,Jaipur,Jaipur,SL,2647,2024-07-13,2024-08-11,UPI,Confirmed
73,Rahul,25,Male,12177,Pune,Mumbai,3A,160,2024-04-18,2024-05-05,Cash,WL
74,Amit,34,Female,12723,Lucknow,Bangalore,SL,2965,2024-08-28,2024-09-16,Card,WL
75,Rahul,74,Male,12663,Patna,Lucknow,3A,442,2024-04-11,2024-05-09,UPI,Confirmed
76,Sneha,41,Female,12127,Bangalore,Lucknow,1A,1265,2024-06-06,2024-07-15,Cash,WL
77,Amit,60,Female,12618,Lucknow,Delhi,SL,1087,2024-02-11,2024-03-21,UPI,Cancelled
78,Amit,27,Female,12531,Bangalore,Lucknow,3A,2547,2024-05-17,2024-06-23,Cash,Cancelled
79,Suman,49,Female,12341,Kolkata,Mumbai,3A,1500,2024-09-08,2024-09-14,Cash,Cancelled
80,Ravi,75,Male,12465,Mumbai,Kolkata,2A,1474,2024-09-10,2024-09-29,UPI,WL
81,Amit,74,Female,12423,Delhi,Varanasi,2A,2700,2024-09-20,2024-11-12,Cash,Cancelled
82,Amit,31,Female,12562,Patna,Lucknow,1A,3010,2024-08-14,2024-10-02,Cash,Confirmed
83,Sneha,35,Male,12318,Pune,Delhi,1A,531,2024-01-15,2024-02-25,Card,Confirmed
84,Neha,68,Female,12521,Lucknow,Chennai,1A,2084,2024-08-24,2024-09-01,Card,WL
85,Ravi,29,Male,12884,Mumbai,Lucknow,1A,1542,2024-10-09,2024-10-19,NetBanking,Confirmed
86,Ankit,80,Female,12886,Patna,Bangalore,1A,1563,2024-05-24,2024-07-10,NetBanking,Cancelled
87,Suman,46,Male,12714,Varanasi,Jaipur,1A,1106,2024-10-05,2024-10-30,Cash,Confirmed
88,Suman,53,Female,12679,Patna,Bangalore,SL,667,2024-06-11,2024-07-29,NetBanking,Confirmed
89,Karan,63,Male,12739,Patna,Chennai,3A,456,2024-08-13,2024-08-20,Cash,WL
90,Ravi,15,Female,12872,Pune,Chennai,2A,2717,2024-06-22,2024-08-01,Cash,Cancelled
91,Rahul,35,Female,12232,Mumbai,Chennai,SL,3264,2024-01-19,2024-02-28,UPI,WL
92,Ankit,8,Male,12332,Delhi,Lucknow,2A,1685,2024-03-26,2024-05-10,Cash,Confirmed
93,Ravi,77,Male,12174,Patna,Mumbai,1A,2688,2024-05-05,2024-06-08,Card,WL
94,Priya,64,Female,12470,Lucknow,Delhi,1A,1328,2024-10-25,2024-11-04,Card,Confirmed
95,Sneha,43,Female,12706,Lucknow,Bangalore,2A,965,2024-08-14,2024-09-06,Cash,WL
96,Ravi,78,Female,12588,Lucknow,Lucknow,SL,2846,2024-02-24,2024-03-11,Cash,WL
97,Amit,68,Female,12794,Varanasi,Jaipur,2A,1047,2024-01-05,2024-02-11,Card,Cancelled
98,Neha,17,Male,12316,Bangalore,Delhi,2A,3149,2024-05-08,2024-06-21,Card,Confirmed
99,Ravi,27,Male,12135,Pune,Kolkata,2A,823,2024-05-31,2024-06-21,NetBanking,WL
100,Pooja,19,Female,12986,Mumbai,Patna,3A,2920,2024-05-31,2024-07-18,Cash,Cancelled
101,Ravi,6,Female,12549,Mumbai,Bangalore,2A,2905,2024-07-06,2024-07-12,NetBanking,Cancelled
102,Pooja,18,Male,12482,Delhi,Jaipur,2A,2648,2024-07-14,2024-09-05,Card,Cancelled
103,Suman,43,Female,12119,Patna,Delhi,SL,1396,2024-02-02,2024-03-14,Cash,Confirmed
104,Karan,22,Female,12464,Kolkata,Pune,1A,2555,2024-02-19,2024-03-06,Card,WL
105,Suman,57,Female,12033,Kolkata,Varanasi,1A,1971,2024-02-20,2024-04-14,Card,WL
106,Pooja,74,Female,12062,Chennai,Lucknow,3A,650,2024-02-20,2024-04-04,Cash,Confirmed
107,Sneha,7,Male,12805,Kolkata,Varanasi,3A,3373,2024-04-18,2024-05-30,Card,Confirmed
108,Sneha,32,Male,12336,Patna,Jaipur,SL,1285,2024-10-10,2024-10-24,Card,Confirmed
109,Neha,19,Male,12134,Delhi,Kolkata,3A,2561,2024-10-03,2024-10-20,NetBanking,Confirmed
110,Amit,21,Female,12538,Mumbai,Mumbai,1A,1986,2024-03-30,2024-04-16,NetBanking,Cancelled
111,Karan,33,Male,12744,Pune,Lucknow,1A,2785,2024-02-25,2024-03-25,UPI,Confirmed
112,Ravi,59,Male,12502,Bangalore,Mumbai,SL,1469,2024-09-02,2024-10-27,Card,Confirmed
113,Sneha,79,Female,12390,Jaipur,Pune,2A,2008,2024-03-05,2024-03-23,Cash,Confirmed
114,Karan,32,Female,12462,Varanasi,Chennai,2A,2007,2024-02-28,2024-04-23,Cash,WL
115,Ravi,45,Female,12383,Patna,Bangalore,SL,523,2024-02-18,2024-03-10,UPI,Confirmed
116,Pooja,21,Male,12600,Pune,Pune,2A,2894,2024-08-09,2024-08-16,UPI,WL
117,Ravi,11,Female,12614,Lucknow,Kolkata,SL,2517,2024-06-30,2024-08-25,Card,Confirmed
118,Rahul,49,Female,12117,Lucknow,Jaipur,3A,3456,2024-09-03,2024-09-18,Cash,Cancelled
119,Sneha,39,Male,12184,Lucknow,Lucknow,2A,1587,2024-10-12,2024-10-14,UPI,Confirmed
120,Ravi,13,Male,12758,Delhi,Mumbai,3A,1690,2024-03-14,2024-04-20,Cash,WL
121,Pooja,44,Female,12795,Jaipur,Jaipur,SL,365,2024-06-23,2024-07-04,Card,Confirmed
122,Rahul,39,Female,12677,Chennai,Bangalore,1A,1846,2024-01-26,2024-03-10,NetBanking,Confirmed
123,Pooja,60,Male,12290,Jaipur,Bangalore,2A,336,2024-09-19,2024-09-27,Card,WL
124,Priya,43,Male,12785,Patna,Lucknow,2A,1493,2024-01-29,2024-01-30,UPI,Confirmed
125,Ravi,27,Male,12389,Pune,Varanasi,2A,445,2024-09-11,2024-10-29,Cash,Cancelled
126,Amit,63,Male,12882,Kolkata,Jaipur,1A,2498,2024-01-22,2024-02-19,Cash,Cancelled
127,Rahul,56,Male,12989,Kolkata,Patna,1A,2974,2024-08-01,2024-08-20,NetBanking,Confirmed
128,Rahul,36,Female,12603,Chennai,Pune,SL,1771,2024-08-11,2024-10-05,NetBanking,Cancelled
129,Pooja,26,Male,12522,Mumbai,Pune,3A,3329,2024-06-22,2024-07-07,NetBanking,WL
130,Rahul,23,Female,12202,Patna,Jaipur,3A,3263,2024-03-16,2024-04-01,UPI,Confirmed
131,Sneha,79,Female,12697,Jaipur,Jaipur,2A,2719,2024-09-09,2024-10-09,NetBanking,Confirmed
132,Suman,61,Female,12815,Lucknow,Jaipur,SL,1591,2024-08-13,2024-08-18,UPI,WL
133,Amit,12,Female,12851,Lucknow,Mumbai,SL,2669,2024-08-24,2024-09-22,Cash,WL
134,Amit,62,Male,12329,Jaipur,Bangalore,3A,403,2024-10-24,2024-11-29,Cash,Confirmed
135,Rahul,69,Male,12040,Varanasi,Bangalore,1A,2296,2024-06-24,2024-08-09,Card,WL
136,Ankit,54,Female,12793,Kolkata,Jaipur,SL,3382,2024-07-09,2024-09-06,NetBanking,Confirmed
137,Karan,54,Female,12258,Jaipur,Patna,2A,483,2024-06-17,2024-06-24,Card,WL
138,Ravi,21,Male,12317,Pune,Chennai,2A,3480,2024-06-07,2024-07-19,Card,Cancelled
139,Ravi,70,Female,12018,Kolkata,Lucknow,3A,1027,2024-09-26,2024-10-02,NetBanking,WL
140,Neha,24,Male,12302,Mumbai,Pune,SL,2861,2024-04-08,2024-04-23,NetBanking,Cancelled
141,Ravi,24,Male,12185,Jaipur,Patna,1A,328,2024-03-08,2024-04-16,Cash,WL
142,Sneha,41,Female,12239,Pune,Varanasi,2A,3462,2024-05-01,2024-05-30,Cash,Confirmed
143,Sneha,61,Female,12787,Lucknow,Chennai,1A,813,2024-07-07,2024-08-20,Card,Cancelled
144,Ankit,11,Female,12895,Kolkata,Pune,SL,3063,2024-03-11,2024-05-06,UPI,WL
145,Neha,39,Female,12927,Pune,Patna,1A,525,2024-02-12,2024-04-01,Card,WL
146,Amit,58,Male,12405,Pune,Kolkata,3A,1731,2024-06-27,2024-08-26,UPI,WL
147,Pooja,17,Female,12810,Patna,Patna,SL,1325,2024-04-24,2024-04-26,Cash,Cancelled
148,Suman,62,Male,12927,Mumbai,Delhi,2A,1033,2024-03-12,2024-04-30,Card,Cancelled
149,Rahul,41,Male,12308,Mumbai,Delhi,3A,1869,2024-09-27,2024-10-25,Cash,Confirmed
150,Suman,73,Male,12647,Pune,Jaipur,3A,3093,2024-02-26,2024-04-20,Card,WL
151,Sneha,50,Male,12584,Chennai,Patna,SL,2294,2024-08-07,2024-08-08,NetBanking,Confirmed
152,Karan,69,Male,12399,Bangalore,Delhi,1A,1679,2024-09-26,2024-10-31,NetBanking,Cancelled
153,Rahul,49,Male,12750,Mumbai,Jaipur,2A,696,2024-01-09,2024-02-01,UPI,WL
154,Neha,64,Female,12646,Patna,Patna,SL,3082,2024-10-06,2024-10-28,Cash,Confirmed
155,Amit,30,Male,12323,Lucknow,Pune,1A,3489,2024-05-30,2024-06-12,Cash,WL
156,Priya,41,Female,12882,Delhi,Kolkata,2A,659,2024-01-19,2024-03-08,NetBanking,WL
157,Suman,54,Female,12997,Patna,Bangalore,1A,1654,2024-07-23,2024-09-09,NetBanking,Confirmed
158,Ravi,28,Female,12328,Mumbai,Mumbai,2A,2857,2024-08-05,2024-08-11,NetBanking,WL
159,Ravi,26,Female,12359,Bangalore,Delhi,2A,2668,2024-08-16,2024-09-24,Cash,WL
160,Ravi,51,Male,12975,Delhi,Patna,1A,292,2024-01-30,2024-02-04,Card,Confirmed
161,Pooja,51,Female,12972,Jaipur,Delhi,3A,2931,2024-04-30,2024-06-19,Cash,WL
162,Rahul,78,Male,12542,Kolkata,Chennai,2A,2810,2024-07-09,2024-08-07,NetBanking,Confirmed
163,Neha,68,Female,12935,Pune,Mumbai,2A,3324,2024-02-28,2024-03-01,NetBanking,Cancelled
164,Sneha,41,Female,12204,Mumbai,Patna,SL,2001,2024-08-16,2024-08-30,Card,Cancelled
165,Pooja,49,Male,12563,Pune,Lucknow,2A,795,2024-08-15,2024-08-21,Card,WL
166,Rahul,30,Male,12242,Bangalore,Delhi,2A,2419,2024-09-17,2024-10-02,NetBanking,WL
167,Sneha,16,Male,12316,Chennai,Bangalore,1A,3300,2024-10-09,2024-10-18,Cash,Cancelled
168,Pooja,14,Female,12477,Pune,Kolkata,3A,3345,2024-02-07,2024-02-16,Card,Confirmed
169,Amit,20,Male,12311,Patna,Patna,2A,3055,2024-08-09,2024-09-11,Card,WL
170,Ankit,15,Female,12201,Pune,Lucknow,3A,2710,2024-09-22,2024-11-19,NetBanking,Cancelled
171,Karan,26,Male,12175,Jaipur,Jaipur,2A,2458,2024-09-30,2024-10-06,UPI,Confirmed
172,Sneha,38,Male,12785,Jaipur,Chennai,SL,2189,2024-02-11,2024-02-14,NetBanking,Cancelled
173,Priya,56,Female,12464,Mumbai,Delhi,3A,1950,2024-06-03,2024-07-04,Cash,WL
174,Pooja,23,Female,12882,Kolkata,Kolkata,1A,685,2024-08-25,2024-09-08,NetBanking,Cancelled
175,Pooja,35,Female,12125,Lucknow,Bangalore,3A,727,2024-10-14,2024-10-21,UPI,Confirmed
176,Sneha,58,Male,12985,Patna,Kolkata,2A,927,2024-05-28,2024-06-22,Card,WL
177,Suman,44,Female,12023,Mumbai,Chennai,1A,1136,2024-09-20,2024-10-20,Card,Cancelled
178,Amit,41,Female,12611,Bangalore,Lucknow,SL,590,2024-06-29,2024-07-03,Cash,Confirmed
179,Pooja,56,Female,12046,Chennai,Delhi,3A,1634,2024-05-15,2024-07-01,NetBanking,Confirmed
180,Suman,75,Female,12845,Jaipur,Jaipur,SL,677,2024-07-16,2024-08-18,UPI,WL
181,Pooja,76,Female,12773,Patna,Varanasi,1A,2198,2024-07-10,2024-08-30,UPI,Confirmed
182,Pooja,65,Female,12152,Jaipur,Pune,3A,1493,2024-01-20,2024-01-29,NetBanking,Confirmed
183,Ankit,80,Female,12519,Pune,Pune,1A,3052,2024-07-20,2024-08-29,NetBanking,WL
184,Pooja,19,Female,12597,Lucknow,Delhi,1A,1237,2024-01-09,2024-02-02,Card,Cancelled
185,Suman,26,Female,12151,Varanasi,Delhi,SL,931,2024-01-27,2024-03-05,UPI,WL
186,Neha,57,Male,12420,Pune,Jaipur,1A,3163,2024-06-09,2024-07-06,UPI,Cancelled
187,Priya,76,Female,12678,Bangalore,Pune,1A,1435,2024-03-11,2024-04-14,Card,WL
188,Karan,50,Female,12624,Bangalore,Varanasi,3A,1292,2024-09-29,2024-10-21,NetBanking,Confirmed
189,Ankit,31,Female,12324,Bangalore,Kolkata,2A,1328,2024-06-01,2024-07-21,UPI,Cancelled
190,Ravi,49,Male,12297,Delhi,Lucknow,SL,1568,2024-10-05,2024-10-30,Cash,Cancelled
191,Suman,32,Male,12847,Pune,Lucknow,2A,712,2024-05-11,2024-06-28,UPI,Cancelled
192,Priya,11,Male,12653,Varanasi,Delhi,SL,1842,2024-10-27,2024-11-12,NetBanking,Cancelled
193,Neha,5,Male,12416,Bangalore,Bangalore,3A,3246,2024-08-29,2024-09-05,NetBanking,WL
194,Amit,16,Male,12547,Delhi,Patna,1A,870,2024-05-26,2024-07-07,UPI,WL
195,Ankit,9,Male,12305,Jaipur,Jaipur,SL,1522,2024-09-10,2024-09-22,NetBanking,WL
196,Suman,22,Female,12279,Varanasi,Mumbai,2A,815,2024-10-05,2024-11-08,Cash,Cancelled
197,Neha,6,Female,12809,Lucknow,Jaipur,3A,868,2024-05-11,2024-06-26,Cash,WL
198,Rahul,56,Male,12189,Patna,Bangalore,2A,1166,2024-09-20,2024-10-11,UPI,WL
199,Suman,39,Female,12309,Jaipur,Jaipur,SL,1221,2024-07-15,2024-07-31,NetBanking,Cancelled
200,Rahul,64,Female,12163,Chennai,Pune,2A,2977,2024-04-30,2024-05-04,UPI,Cancelled
201,Sneha,33,Male,12980,Patna,Bangalore,3A,2013,2024-05-31,2024-06-24,NetBanking,WL
202,Suman,73,Male,12780,Varanasi,Jaipur,SL,2302,2024-10-08,2024-12-06,Cash,Cancelled
203,Sneha,19,Male,12848,Pune,Pune,3A,2495,2024-07-04,2024-07-09,Card,Confirmed
204,Karan,61,Male,12696,Varanasi,Jaipur,1A,522,2024-06-16,2024-08-10,Cash,Confirmed
205,Karan,58,Female,12577,Delhi,Pune,1A,2905,2024-08-20,2024-08-29,NetBanking,Cancelled
206,Ankit,5,Male,12592,Mumbai,Delhi,1A,1561,2024-01-12,2024-02-07,UPI,Cancelled
207,Rahul,65,Male,12293,Chennai,Patna,3A,3286,2024-01-31,2024-03-31,Cash,WL
208,Ravi,53,Male,12699,Pune,Patna,2A,635,2024-07-14,2024-08-12,Card,Cancelled
209,Neha,33,Male,12774,Delhi,Lucknow,1A,2908,2024-07-20,2024-08-23,Cash,Cancelled
210,Priya,36,Female,12354,Patna,Lucknow,3A,3119,2024-07-13,2024-09-04,UPI,Confirmed
211,Amit,35,Male,12068,Mumbai,Jaipur,SL,1978,2024-08-02,2024-09-11,UPI,Confirmed
212,Suman,34,Male,12772,Delhi,Patna,2A,1109,2024-01-23,2024-02-18,NetBanking,Cancelled
213,Ankit,23,Male,12423,Lucknow,Lucknow,SL,2430,2024-06-13,2024-06-29,Card,Cancelled
214,Suman,11,Female,12964,Chennai,Pune,2A,3002,2024-08-06,2024-09-11,Cash,WL
215,Ravi,28,Female,12246,Varanasi,Lucknow,3A,3450,2024-03-17,2024-04-06,Cash,Confirmed
216,Ravi,76,Male,12397,Varanasi,Lucknow,3A,1502,2024-10-14,2024-11-10,UPI,WL
217,Karan,29,Male,12274,Chennai,Jaipur,SL,448,2024-07-08,2024-07-14,Card,Cancelled
218,Suman,31,Female,12310,Delhi,Varanasi,3A,3187,2024-10-13,2024-10-27,UPI,Cancelled
219,Priya,31,Female,12937,Varanasi,Pune,2A,3326,2024-09-02,2024-10-31,NetBanking,WL
220,Pooja,44,Female,12368,Pune,Bangalore,1A,553,2024-08-26,2024-09-30,Cash,WL
221,Pooja,57,Male,12576,Varanasi,Patna,SL,1218,2024-04-14,2024-05-08,Cash,WL
222,Pooja,34,Female,12583,Varanasi,Bangalore,2A,1204,2024-03-19,2024-04-01,Cash,Cancelled
223,Neha,50,Male,12143,Pune,Bangalore,3A,2370,2024-09-08,2024-10-08,UPI,Cancelled
224,Rahul,11,Male,12422,Patna,Varanasi,SL,3046,2024-01-18,2024-03-12,Card,Confirmed
225,Suman,52,Male,12632,Jaipur,Bangalore,1A,214,2024-04-21,2024-05-24,UPI,Cancelled
226,Amit,7,Female,12548,Lucknow,Delhi,1A,3452,2024-10-09,2024-11-05,Card,Confirmed
227,Neha,35,Male,12634,Pune,Lucknow,2A,1244,2024-02-19,2024-03-24,Cash,Confirmed
228,Suman,77,Male,12713,Varanasi,Lucknow,SL,2827,2024-07-10,2024-08-05,UPI,Confirmed
229,Ravi,75,Female,12057,Delhi,Patna,SL,2197,2024-07-26,2024-08-20,Cash,Cancelled
230,Rahul,72,Male,12235,Varanasi,Jaipur,1A,1260,2024-06-18,2024-07-25,UPI,Confirmed
231,Karan,77,Male,12183,Kolkata,Delhi,3A,2554,2024-05-23,2024-07-20,Card,Cancelled
232,Rahul,43,Male,12577,Varanasi,Jaipur,1A,2923,2024-07-22,2024-09-20,NetBanking,WL
233,Rahul,69,Female,12054,Mumbai,Chennai,3A,461,2024-03-12,2024-05-02,NetBanking,Cancelled
234,Pooja,8,Female,12802,Bangalore,Bangalore,3A,1607,2024-07-22,2024-09-10,Cash,WL
235,Sneha,53,Male,12790,Jaipur,Lucknow,3A,3070,2024-04-05,2024-05-19,UPI,Confirmed
236,Ravi,24,Female,12324,Kolkata,Mumbai,SL,171,2024-05-17,2024-05-27,NetBanking,WL
237,Ankit,18,Male,12089,Patna,Chennai,1A,2431,2024-07-03,2024-08-21,Cash,Confirmed
238,Pooja,75,Male,12611,Jaipur,Kolkata,1A,200,2024-01-14,2024-01-20,NetBanking,WL
239,Rahul,76,Male,12585,Pune,Patna,1A,844,2024-07-17,2024-09-05,Card,WL
240,Suman,23,Male,12171,Chennai,Lucknow,1A,1377,2024-06-03,2024-06-21,Cash,Confirmed
241,Priya,68,Male,12468,Mumbai,Patna,2A,177,2024-07-03,2024-07-20,Cash,WL
242,Pooja,61,Female,12440,Jaipur,Patna,2A,1463,2024-07-13,2024-09-03,Card,WL
243,Ravi,45,Female,12752,Bangalore,Jaipur,3A,1484,2024-06-09,2024-06-21,Cash,WL
244,Rahul,77,Male,12606,Pune,Patna,SL,3128,2024-07-20,2024-08-13,Cash,Cancelled
245,Ankit,13,Female,12689,Bangalore,Patna,2A,1141,2024-04-17,2024-05-16,NetBanking,Cancelled
246,Ravi,53,Male,12459,Jaipur,Bangalore,1A,2338,2024-03-19,2024-05-04,Cash,Cancelled
247,Pooja,73,Male,12111,Varanasi,Kolkata,3A,2800,2024-01-19,2024-03-10,UPI,Cancelled
248,Pooja,60,Male,12010,Mumbai,Lucknow,3A,2241,2024-07-23,2024-09-10,Card,WL
249,Suman,80,Male,12353,Delhi,Bangalore,SL,1360,2024-07-10,2024-08-05,Cash,Confirmed
250,Neha,49,Female,12351,Bangalore,Varanasi,1A,1576,2024-02-29,2024-04-23,Cash,Confirmed
251,Suman,45,Male,12307,Delhi,Mumbai,SL,1555,2024-08-12,2024-09-28,UPI,Cancelled
252,Priya,71,Male,12565,Patna,Kolkata,1A,2042,2024-03-25,2024-05-24,Card,WL
253,Ravi,55,Male,12755,Jaipur,Varanasi,1A,2575,2024-04-04,2024-04-16,Cash,WL
254,Priya,31,Female,12770,Mumbai,Jaipur,SL,3424,2024-01-03,2024-02-18,Card,WL
255,Suman,19,Female,12686,Bangalore,Pune,2A,2595,2024-06-15,2024-06-28,Cash,Cancelled
